Date,Open,High,Low,Close,Adj Close,Volume
2023-12-14,740.500000,761.000000,737.000000,760.000000,760.000000,1669614
2023-12-15,760.000000,769.450012,750.099976,758.299988,758.299988,2252891
2023-12-18,758.250000,758.250000,743.000000,748.650024,748.650024,1843431
2023-12-19,749.549988,751.599976,730.049988,731.299988,731.299988,1743062
2023-12-20,737.400024,772.150024,734.900024,760.049988,760.049988,5717729
2023-12-21,750.000000,773.000000,743.500000,771.299988,771.299988,2313825
2023-12-22,774.000000,785.799988,758.000000,765.450012,765.450012,2822166
2023-12-26,768.599976,772.299988,762.200012,769.549988,769.549988,847143
2023-12-27,774.900024,780.000000,768.000000,774.599976,774.599976,1065904
2023-12-28,779.000000,798.849976,768.049988,788.650024,788.650024,3280996
2023-12-29,790.000000,794.950012,775.599976,787.400024,787.400024,1424964
2024-01-01,790.900024,790.900024,779.000000,786.000000,786.000000,1258532
2024-01-02,786.000000,788.000000,761.599976,766.849976,766.849976,2202630
2024-01-03,766.849976,774.150024,754.000000,770.349976,770.349976,2031856
2024-01-04,778.000000,804.150024,745.049988,797.349976,797.349976,2624482
2024-01-05,805.000000,809.700012,791.549988,801.049988,801.049988,2341793
2024-01-08,794.000000,813.200012,792.000000,801.700012,801.700012,2497633
2024-01-09,813.400024,813.400024,775.000000,777.299988,777.299988,2705036
2024-01-10,770.450012,781.450012,764.400024,772.450012,772.450012,2832401
2024-01-11,780.000000,786.900024,772.750000,776.599976,776.599976,922879
2024-01-12,783.000000,791.000000,772.000000,788.349976,788.349976,1336781
2024-01-15,790.799988,792.000000,770.049988,772.049988,772.049988,1416880
2024-01-16,772.049988,781.900024,770.750000,775.549988,775.549988,1357631
2024-01-17,759.950012,783.950012,744.200012,757.400024,757.400024,5351653
2024-01-18,754.349976,758.750000,732.849976,734.099976,734.099976,2679347
2024-01-19,740.000000,746.150024,724.500000,730.549988,730.549988,4468871
2024-01-23,755.000000,758.000000,709.049988,716.500000,716.500000,3081087
2024-01-24,716.500000,739.000000,709.049988,737.250000,737.250000,2550245
2024-01-25,740.000000,741.450012,703.200012,707.849976,707.849976,5475393
2024-01-29,670.000000,670.000000,624.049988,626.349976,626.349976,21666348
2024-01-30,630.000000,631.849976,613.500000,625.250000,625.250000,7443243
2024-01-31,628.000000,640.450012,620.799988,636.599976,636.599976,5579390
2024-02-01,639.849976,644.000000,632.299988,634.950012,634.950012,2006355
2024-02-02,638.750000,645.700012,627.599976,629.000000,629.000000,2688173
